HouseAge,SquareFeet,MarketValue
33,"1,812","90,000"
32,"1,914","104,400"
32,"1,842","93,300"
33,"1,812","91,000"
32,"1,836","101,900"
33,"2,028","108,500"
32,"1,732","87,600"
33,"1,850","96,000"
32,"1,791","89,200"
33,"1,666","88,400"
32,"1,852","100,800"
32,"1,620","96,700"
32,"1,692","87,500"
32,"2,372","114,000"
32,"2,372","113,200"
33,"1,666","87,500"
32,"2,123","116,100"
32,"1,620","94,700"
32,"1,731","86,400"
32,"1,666","87,100"
28,"1,520","83,400"
27,"1,484","79,800"
28,"1,588","81,500"
28,"1,598","87,100"
28,"1,484","82,600"
28,"1,484","78,800"
28,"1,520","87,600"
27,"1,701","94,200"
28,"1,484","82,000"
28,"1,468","88,100"
28,"1,520","88,100"
27,"1,520","88,600"
27,"1,484","76,600"
28,"1,520","84,400"
27,"1,668","90,900"
28,"1,588","81,000"
28,"1,784","91,300"
27,"1,484","81,300"
27,"1,520","100,700"
28,"1,520","87,200"
27,"1,684","96,700"
27,"1,581","120,700"
